"","MovieName","TrailerLink","youtubeView","youtubeLike","youtubeDisLike","Revenue","FacebookMovieLike","actExp","Budget","Opening_Weekend_Gross","ReleasePeriod","runtime","Screen","Sequel","MPAA_Rating","Genre","ROI","Success"
"458","Barefoot (film)","eoWlZmwt8ac",15823,10,0,15071,44956,38,6000000,11766,6000000,90,18,0,10,10100100,-0.997488166666667,FALSE
"459","13 Sins","dLaBxTeRHV4",5004381,6471,697,13809,9003,38,4000000,9134,4000000,93,45,0,1,10010001,-0.99654775,FALSE
"460","A Resurrection (film)","3gnPWosJqyw",16254,8,0,10730,233,36,5080000,7335,5080000,89,17,0,1,10001,-0.997887795275591,FALSE
"461","Lucky (2011 film)","Vg1Zi196YBE",6310,2,0,8564,17722,12,29428000,5864600,29428000,103,2541,0,10,10000100,-0.999708984640478,FALSE
"462","Pawn Shop Chronicles","dfg6V4tyfDY",1305613,2368,213,8088,5404,35,5080000,4939,5080000,112,15,0,1,111000000,-0.998407874015748,FALSE
"463","Price Check","s4po7zgucr4",57217,75,5,7413,1109,42,2062000,2856,2062000,92,1,0,1000,10100000,-0.996404946653734,FALSE
"464","Crazy Eyes (film)","oPDGO0reuhg",60196,58,11,6141,340,73,10310000,3344,10310000,95,2,0,1000,10000000,-0.999404364694471,FALSE
"465","The Good Doctor (2011 film)","OAw2JMWtN7w",42963,56,10,5206,18216,27,6306000,3276,6306000,91,2,0,10,100001,-0.999174437044085,FALSE
"466","Brake (film)","QPofHkR5K9E",531118,354,95,4876,4692,63,515500,4444,515500,92,2,0,1,1,-0.990541222114452,FALSE
"467","Passion Play (film)","vfB4dSUTFgE",20618,47,2,3669,1245,64,8688000,2174,8688000,94,2,0,1,100100,-0.999577693370166,FALSE
"468","ATM (film)","tl3c9kQeuE8",1173703,392,790,3010,12454,30,3093000,2087,3093000,90,2,0,1,10001,-0.999026834788232,FALSE
"469","About Cherry","5FV4oqBqOHI",1308838,606,145,3003,2528,3,2577500,2832,2577500,98,3,0,1,100000,-0.998834917555771,FALSE
"470","Detention of the Dead","frzcWewOwcA",90707,134,32,1777,3738,8,515500,1367,515500,87,2,0,1000,10010000,-0.996552861299709,FALSE
"471","The Lincoln Lawyer","xU4ReVEemN0",2652089,2070,118,58009200,1526770,40,42040000,13606000,42040000,118,2707,0,1,1100001,0.379857278782112,FALSE
"472","Saving Santa","pIyzsTVx1TY",117436,80,12,1e+07,2595,90,7620000,357750,7620000,83,126,0,1000,1010000000,0.312335958005249,FALSE
